id_cliente,genero,idoso,casado,dependentes,meses_cliente,servico_de_telefone,varias_linhas,servico_de_internet,seguranca_online,backup_online,protecao_de_dispositivo,suporte_tecnico,tv,streaming_de_filmes,contrato,fatura_sem_papel,forma_de_pagamento,cobrancas_mensais,custos_totais,cancelou
9959-WOFKT,masculino,nao,nao,sim,71,sim,sim,fibra optica,sim,nao,sim,nao,sim,sim,bianual,nao,transferencia bancaria,106.7,7382.25,nao
4190-MFLUW,feminino,nao,sim,sim,10,sim,nao,DSL,nao,nao,sim,sim,nao,nao,mensal,nao,cartao de credito,55.2,528.35,sim
4183-MYFRB,feminino,nao,nao,nao,21,sim,nao,fibra optica,nao,sim,sim,nao,nao,sim,mensal,sim,cheque eletronico,90.05,1862.9,nao
8779-QRDMV,masculino,sim,nao,nao,1,nao,nao,DSL,nao,nao,sim,nao,nao,sim,mensal,sim,cheque eletronico,39.65,39.65,sim
1680-VDCWW,masculino,nao,sim,nao,12,sim,nao,nao,nao,nao,nao,nao,nao,nao,anual,nao,transferencia bancaria,19.8,202.25,nao
1066-JKSGK,masculino,nao,nao,nao,1,sim,nao,nao,nao,nao,nao,nao,nao,nao,mensal,nao,cheque,20.15,20.15,sim
3638-WEABW,feminino,nao,sim,nao,58,sim,sim,DSL,nao,sim,nao,sim,nao,nao,bianual,sim,cartao de credito,59.9,3505.1,nao
6322-HRPFA,masculino,nao,sim,sim,49,sim,nao,DSL,sim,sim,nao,sim,nao,nao,mensal,nao,cartao de credito,59.6,2970.3,nao
6865-JZNKO,feminino,nao,nao,nao,30,sim,nao,DSL,sim,sim,nao,nao,nao,nao,mensal,sim,transferencia bancaria,55.3,1530.6,nao
6467-CHFZW,masculino,nao,sim,sim,47,sim,sim,fibra optica,nao,sim,nao,nao,sim,sim,mensal,sim,cheque eletronico,99.35,4749.15,sim
8665-UTDHZ,masculino,nao,sim,sim,1,nao,nao,DSL,nao,sim,nao,nao,nao,nao,mensal,nao,cheque eletronico,30.2,30.2,sim
5248-YGIJN,masculino,nao,sim,nao,72,sim,sim,DSL,sim,sim,sim,sim,sim,sim,bianual,sim,cartao de credito,90.25,6369.45,nao
8773-HHUOZ,feminino,nao,nao,sim,17,sim,nao,DSL,nao,nao,nao,nao,sim,sim,mensal,sim,cheque,64.7,1093.1,sim
3841-NFECX,feminino,sim,sim,nao,71,sim,sim,fibra optica,sim,sim,sim,sim,nao,nao,bianual,sim,cartao de credito,96.35,6766.95,nao
4929-XIHVW,masculino,sim,sim,nao,2,sim,nao,fibra optica,nao,nao,sim,nao,sim,sim,mensal,sim,cartao de credito,95.5,181.65,nao
6827-IEAUQ,feminino,nao,sim,sim,27,sim,nao,DSL,sim,sim,sim,sim,nao,nao,anual,nao,cheque,66.15,1874.45,nao
7310-EGVHZ,masculino,nao,nao,nao,1,sim,nao,nao,nao,nao,nao,nao,nao,nao,mensal,nao,transferencia bancaria,20.2,20.2,nao
3413-BMNZE,masculino,sim,nao,nao,1,sim,nao,DSL,nao,nao,nao,nao,nao,nao,mensal,nao,transferencia bancaria,45.25,45.25,nao
6234-RAAPL,feminino,nao,sim,sim,72,sim,sim,fibra optica,sim,sim,nao,sim,sim,nao,bianual,nao,transferencia bancaria,99.9,7251.7,nao
6047-YHPVI,masculino,nao,nao,nao,5,sim,nao,fibra optica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,69.7,316.9,sim
6572-ADKRS,feminino,nao,nao,nao,46,sim,nao,fibra optica,nao,nao,sim,nao,nao,nao,mensal,sim,cartao de credito,74.8,3548.3,nao
5380-WJKOV,masculino,nao,nao,nao,34,sim,sim,fibra optica,nao,sim,sim,nao,sim,sim,mensal,sim,cheque eletronico,106.35,3549.25,sim
8168-UQWWF,feminino,nao,nao,nao,11,sim,sim,fibra optica,nao,nao,sim,nao,sim,sim,mensal,sim,transferencia bancaria,97.85,1105.4,sim
8865-TNMNX,masculino,nao,sim,sim,10,sim,nao,DSL,nao,sim,nao,nao,nao,nao,anual,nao,cheque,49.55,475.7,nao
9489-DEDVP,feminino,nao,sim,sim,70,sim,sim,DSL,sim,sim,nao,nao,sim,nao,bianual,sim,cartao de credito,69.2,4872.35,nao
9867-JCZSP,feminino,nao,sim,sim,17,sim,nao,nao,nao,nao,nao,nao,nao,nao,anual,nao,cheque,20.75,418.25,nao
4671-VJLCL,feminino,nao,nao,nao,63,sim,sim,DSL,sim,sim,sim,sim,sim,nao,bianual,sim,cartao de credito,79.85,4861.45,nao
4080-IIARD,feminino,nao,sim,nao,13,sim,sim,DSL,sim,sim,nao,sim,sim,nao,mensal,sim,cheque eletronico,76.2,981.45,nao
3714-NTNFO,feminino,nao,nao,nao,49,sim,sim,fibra optica,nao,nao,nao,nao,nao,sim,mensal,sim,cheque eletronico,84.5,3906.7,nao
5948-UJZLF,masculino,nao,nao,nao,2,sim,nao,DSL,nao,sim,nao,nao,nao,nao,mensal,nao,cheque,49.25,97.0,nao
7760-OYPDY,feminino,nao,nao,nao,2,sim,nao,fibra optica,nao,nao,nao,nao,sim,nao,mensal,sim,cheque eletronico,80.65,144.15,sim
7639-LIAYI,masculino,nao,nao,nao,52,sim,sim,DSL,sim,nao,nao,sim,sim,sim,bianual,sim,cartao de credito,79.75,4217.8,nao
2954-PIBKO,feminino,nao,sim,sim,69,sim,sim,DSL,sim,nao,sim,sim,nao,nao,bianual,sim,cartao de credito,64.15,4254.1,nao
8012-SOUDQ,feminino,sim,nao,nao,43,sim,sim,fibra optica,nao,sim,nao,nao,sim,nao,mensal,sim,cheque eletronico,90.25,3838.75,nao
9420-LOJKX,feminino,nao,nao,nao,15,sim,nao,fibra optica,sim,sim,nao,nao,sim,sim,mensal,sim,cartao de credito,99.1,1426.4,sim
6575-SUVOI,feminino,sim,sim,nao,25,sim,sim,DSL,sim,nao,nao,sim,sim,nao,mensal,sim,cartao de credito,69.5,1752.65,nao
7495-OOKFY,feminino,sim,sim,nao,8,sim,sim,fibra optica,nao,sim,nao,nao,nao,nao,mensal,sim,cartao de credito,80.65,633.3,sim
4667-QONEA,feminino,sim,sim,sim,60,sim,nao,DSL,sim,sim,sim,sim,nao,sim,anual,sim,cartao de credito,74.85,4456.35,nao
1658-BYGOY,masculino,sim,nao,nao,18,sim,sim,fibra optica,nao,nao,nao,nao,sim,sim,mensal,sim,cheque eletronico,95.45,1752.55,sim
8769-KKTPH,feminino,nao,sim,sim,63,sim,sim,fibra optica,sim,nao,nao,nao,sim,sim,anual,sim,cartao de credito,99.65,6311.2,nao
5067-XJQFU,masculino,sim,sim,sim,66,sim,sim,fibra optica,nao,sim,sim,sim,sim,sim,anual,sim,cheque eletronico,108.45,7076.35,nao
3957-SQXML,feminino,nao,sim,sim,34,sim,sim,nao,nao,nao,nao,nao,nao,nao,bianual,nao,cartao de credito,24.95,894.3,nao
5954-BDFSG,feminino,nao,nao,nao,72,sim,sim,fibra optica,nao,nao,sim,sim,sim,sim,bianual,sim,cartao de credito,107.5,7853.7,nao
0434-CSFON,feminino,nao,sim,nao,47,sim,sim,fibra optica,nao,nao,sim,nao,sim,sim,mensal,sim,cheque eletronico,100.5,4707.1,nao
1215-FIGMP,masculino,nao,nao,nao,60,sim,sim,fibra optica,nao,sim,nao,nao,sim,nao,mensal,sim,transferencia bancaria,89.9,5450.7,nao
0526-SXDJP,masculino,nao,sim,nao,72,nao,nao,DSL,sim,sim,sim,nao,nao,nao,bianual,nao,transferencia bancaria,42.1,2962.0,nao
0557-ASKVU,feminino,nao,sim,sim,18,sim,nao,DSL,nao,nao,sim,sim,nao,nao,anual,sim,cartao de credito,54.4,957.1,nao
5698-BQJOH,feminino,nao,nao,nao,9,sim,sim,fibra optica,nao,nao,nao,nao,sim,sim,mensal,nao,cheque eletronico,94.4,857.25,sim
5122-CYFXA,feminino,nao,nao,nao,3,sim,nao,DSL,nao,sim,nao,sim,sim,sim,mensal,sim,cheque eletronico,75.3,244.1,nao
8627-ZYGSZ,masculino,nao,sim,nao,47,sim,sim,fibra optica,nao,sim,nao,nao,nao,nao,anual,sim,cheque eletronico,78.9,3650.35,nao
3410-YOQBQ,feminino,nao,nao,nao,31,sim,nao,DSL,nao,sim,sim,sim,sim,sim,bianual,nao,cheque,79.2,2497.2,nao
3170-NMYVV,feminino,nao,sim,sim,50,sim,nao,nao,nao,nao,nao,nao,nao,nao,bianual,nao,transferencia bancaria,20.15,930.9,nao
7410-OIEDU,masculino,nao,nao,nao,10,sim,nao,fibra optica,sim,nao,sim,nao,nao,nao,mensal,sim,cheque,79.85,887.35,nao
2273-QCKXA,masculino,nao,nao,nao,1,sim,nao,DSL,nao,nao,nao,sim,nao,nao,mensal,nao,cheque,49.05,49.05,nao
0731-EBJQB,feminino,nao,sim,sim,52,sim,nao,nao,nao,nao,nao,nao,nao,nao,anual,sim,cheque eletronico,20.4,1090.65,nao
1891-QRQSA,masculino,sim,sim,sim,64,sim,sim,fibra optica,sim,nao,sim,sim,sim,sim,bianual,sim,transferencia bancaria,111.6,7099.0,nao
8028-PNXHQ,masculino,nao,sim,sim,62,sim,sim,nao,nao,nao,nao,nao,nao,nao,bianual,sim,transferencia bancaria,24.25,1424.6,nao
5630-AHZIL,feminino,nao,nao,sim,3,sim,nao,DSL,sim,nao,nao,sim,nao,sim,mensal,sim,transferencia bancaria,64.5,177.4,nao
2673-CXQEU,feminino,sim,nao,nao,56,sim,sim,fibra optica,sim,sim,sim,nao,sim,sim,anual,nao,cheque eletronico,110.5,6139.5,nao
6416-JNVRK,feminino,nao,nao,nao,46,sim,nao,DSL,nao,nao,nao,nao,nao,sim,anual,nao,cartao de credito,55.65,2688.85,nao
5590-ZSKRV,feminino,nao,sim,sim,8,sim,nao,DSL,sim,sim,nao,nao,nao,nao,mensal,nao,cheque,54.65,482.25,nao
0191-ZHSKZ,masculino,sim,nao,nao,30,sim,nao,DSL,sim,sim,nao,nao,sim,sim,mensal,sim,cheque eletronico,74.75,2111.3,nao
3887-PBQAO,feminino,nao,sim,sim,45,sim,sim,nao,nao,nao,nao,nao,nao,nao,anual,sim,cartao de credito,25.9,1216.6,nao
5919-TMRGD,feminino,nao,nao,sim,1,sim,nao,fibra optica,nao,nao,nao,nao,sim,nao,mensal,sim,cheque eletronico,79.35,79.35,sim
8108-UXRQN,feminino,nao,sim,sim,11,nao,nao,DSL,sim,nao,nao,nao,sim,sim,mensal,nao,cheque eletronico,50.55,565.35,nao
9191-MYQKX,feminino,nao,sim,nao,7,sim,nao,fibra optica,nao,nao,sim,nao,nao,nao,mensal,sim,transferencia bancaria,75.15,496.9,sim
9919-YLNNG,feminino,nao,nao,nao,42,sim,nao,fibra optica,nao,sim,sim,sim,sim,sim,mensal,sim,transferencia bancaria,103.8,4327.5,nao
0318-ZOPWS,feminino,nao,sim,nao,49,sim,nao,nao,nao,nao,nao,nao,nao,nao,bianual,sim,transferencia bancaria,20.15,973.35,nao
4445-ZJNMU,masculino,nao,nao,nao,9,sim,sim,fibra optica,nao,sim,nao,nao,sim,sim,mensal,sim,cartao de credito,99.3,918.75,nao
4808-YNLEU,feminino,nao,sim,nao,35,sim,nao,DSL,sim,nao,nao,nao,sim,nao,anual,sim,transferencia bancaria,62.15,2215.45,nao
1862-QRWPE,feminino,nao,sim,sim,48,sim,nao,nao,nao,nao,nao,nao,nao,nao,bianual,nao,transferencia bancaria,20.65,1057.0,nao
2796-NNUFI,feminino,nao,sim,sim,46,sim,nao,nao,nao,nao,nao,nao,nao,nao,bianual,sim,cheque,19.95,927.1,nao
3016-KSVCP,masculino,nao,sim,nao,29,nao,nao,DSL,nao,nao,nao,nao,sim,nao,mensal,nao,cheque,33.75,1009.25,nao
4767-HZZHQ,masculino,nao,sim,sim,30,sim,nao,fibra optica,nao,sim,sim,nao,nao,nao,mensal,nao,transferencia bancaria,82.05,2570.2,nao
2424-WVHPL,masculino,sim,nao,nao,1,sim,nao,fibra optica,nao,nao,nao,sim,nao,nao,mensal,nao,cheque eletronico,74.7,74.7,nao
7233-PAHHL,masculino,nao,sim,sim,66,sim,sim,DSL,sim,nao,sim,sim,sim,sim,bianual,sim,cheque,84.0,5714.25,nao
6067-NGCEU,feminino,nao,nao,nao,65,sim,sim,fibra optica,sim,sim,sim,nao,sim,sim,mensal,sim,cartao de credito,111.05,7107.0,nao
9848-JQJTX,masculino,nao,nao,nao,72,sim,sim,fibra optica,nao,sim,sim,nao,sim,sim,bianual,sim,transferencia bancaria,100.9,7459.05,nao
8637-XJIVR,feminino,nao,nao,nao,12,sim,sim,fibra optica,sim,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,78.95,927.35,sim
9803-FTJCG,masculino,nao,sim,sim,71,sim,sim,DSL,sim,sim,nao,sim,nao,nao,anual,sim,cartao de credito,66.85,4748.7,nao
0278-YXOOG,masculino,nao,nao,nao,5,sim,nao,nao,nao,nao,nao,nao,nao,nao,mensal,nao,cheque,21.05,113.85,sim
3212-KXOCR,masculino,nao,nao,nao,52,sim,nao,nao,nao,nao,nao,nao,nao,nao,bianual,nao,transferencia bancaria,21.0,1107.2,nao
4598-XLKNJ,feminino,sim,sim,nao,25,sim,nao,fibra optica,nao,sim,sim,nao,sim,sim,mensal,sim,cheque eletronico,98.5,2514.5,sim
6380-ARCEH,masculino,nao,nao,nao,1,sim,nao,nao,nao,nao,nao,nao,nao,nao,mensal,nao,cheque,20.2,20.2,nao
3679-XASPY,feminino,nao,sim,sim,1,sim,nao,nao,nao,nao,nao,nao,nao,nao,mensal,nao,cheque eletronico,19.45,19.45,nao
7123-WQUHX,masculino,nao,nao,nao,38,sim,sim,fibra optica,nao,nao,sim,sim,sim,nao,anual,nao,transferencia bancaria,95.0,3605.6,nao
5386-THSLQ,feminino,sim,sim,nao,66,nao,nao,DSL,nao,sim,sim,nao,sim,nao,anual,nao,transferencia bancaria,45.55,3027.25,nao
3192-NQECA,masculino,nao,sim,nao,68,sim,sim,fibra optica,nao,sim,sim,sim,sim,sim,bianual,sim,transferencia bancaria,110.0,7611.85,sim
6180-YBIQI,masculino,nao,nao,nao,5,nao,nao,DSL,nao,nao,nao,nao,nao,nao,mensal,nao,cheque,24.3,100.2,nao
6728-DKUCO,feminino,nao,sim,sim,72,sim,sim,fibra optica,sim,sim,nao,nao,sim,sim,anual,sim,cheque eletronico,104.15,7303.05,nao
9750-BOOHV,feminino,nao,nao,nao,32,nao,nao,DSL,sim,nao,nao,nao,nao,nao,anual,nao,cheque,30.15,927.65,nao
8597-CWYHH,masculino,nao,nao,nao,43,sim,sim,fibra optica,nao,nao,nao,nao,sim,sim,anual,nao,cheque,94.35,3921.3,nao
2848-YXSMW,masculino,nao,sim,sim,72,sim,nao,nao,nao,nao,nao,nao,nao,nao,bianual,nao,cartao de credito,19.4,1363.25,nao
0486-HECZI,masculino,nao,sim,nao,55,sim,sim,fibra optica,sim,sim,nao,nao,sim,nao,mensal,sim,cheque eletronico,96.75,5238.9,sim
4549-ZDQYY,feminino,nao,nao,nao,52,sim,nao,DSL,sim,nao,sim,sim,nao,nao,anual,nao,cartao de credito,57.95,3042.25,nao
5712-AHQNN,feminino,nao,nao,nao,43,sim,nao,fibra optica,nao,sim,sim,nao,sim,nao,mensal,sim,cheque eletronico,91.65,3954.1,nao
4846-WHAFZ,feminino,sim,sim,nao,37,sim,sim,fibra optica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,76.5,2868.15,sim
5256-SKJGO,feminino,nao,sim,sim,64,nao,nao,DSL,nao,sim,nao,sim,sim,sim,bianual,sim,cheque eletronico,54.6,3423.5,nao
3071-VBYPO,masculino,nao,sim,sim,3,sim,nao,fibra optica,sim,sim,nao,nao,sim,nao,mensal,nao,cheque eletronico,89.85,248.4,nao
9560-BBZXK,feminino,nao,nao,nao,36,nao,nao,DSL,sim,nao,nao,nao,nao,nao,bianual,nao,transferencia bancaria,31.05,1126.35,nao
5299-RULOA,feminino,nao,sim,sim,10,sim,sim,fibra optica,sim,nao,nao,nao,sim,sim,mensal,sim,cheque eletronico,100.25,1064.65,sim
8402-OOOHJ,feminino,nao,nao,nao,41,sim,nao,nao,nao,nao,nao,nao,nao,nao,bianual,nao,cheque,20.65,835.15,nao
9445-ZUEQE,masculino,nao,sim,sim,27,sim,sim,fibra optica,nao,sim,nao,sim,nao,nao,mensal,sim,cartao de credito,85.2,2151.6,nao
1091-SOZGA,feminino,nao,sim,sim,56,sim,sim,fibra optica,nao,nao,sim,nao,sim,sim,anual,sim,cartao de credito,99.8,5515.45,nao
2928-HLDBA,feminino,nao,nao,nao,6,sim,nao,nao,nao,nao,nao,nao,nao,nao,mensal,nao,cheque,20.7,112.75,nao
0404-SWRVG,masculino,nao,nao,nao,3,sim,sim,fibra optica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,74.4,229.55,sim
6497-TILVL,feminino,nao,sim,sim,7,sim,nao,DSL,sim,nao,nao,nao,nao,nao,mensal,nao,cheque,50.7,350.35,nao
7219-TLZHO,feminino,nao,sim,sim,4,sim,nao,nao,nao,nao,nao,nao,nao,nao,mensal,nao,cheque,20.85,62.9,nao
4622-YNKIJ,masculino,nao,nao,nao,33,sim,nao,fibra optica,sim,nao,nao,sim,sim,nao,bianual,sim,cheque eletronico,88.95,3027.65,nao
4412-YLTKF,feminino,sim,nao,nao,27,sim,sim,fibra optica,nao,nao,sim,nao,nao,nao,mensal,sim,cheque eletronico,78.05,2135.5,sim
6734-PSBAW,masculino,nao,sim,nao,72,sim,sim,nao,nao,nao,nao,nao,nao,nao,bianual,sim,transferencia bancaria,23.55,1723.95,nao
3930-ZGWVE,masculino,nao,nao,nao,1,sim,nao,nao,nao,nao,nao,nao,nao,nao,mensal,nao,cheque,19.75,19.75,nao
2639-UGMAZ,masculino,sim,nao,nao,71,nao,nao,DSL,sim,sim,nao,nao,sim,sim,anual,sim,cheque eletronico,56.45,3985.35,nao
2876-GZYZC,feminino,nao,nao,nao,13,sim,sim,fibra optica,nao,nao,nao,nao,nao,sim,mensal,sim,cheque eletronico,85.95,1215.65,nao
6207-WIOLX,feminino,nao,sim,sim,25,nao,nao,DSL,sim,sim,sim,nao,sim,sim,mensal,sim,cartao de credito,58.6,1502.65,sim
8587-XYZSF,masculino,nao,nao,nao,67,sim,nao,DSL,nao,nao,nao,sim,nao,nao,bianual,nao,transferencia bancaria,50.55,3260.1,nao
3091-FYHKI,masculino,nao,nao,nao,1,nao,nao,DSL,nao,nao,nao,nao,nao,sim,mensal,sim,cheque eletronico,35.45,35.45,sim
2372-HWUHI,masculino,nao,nao,nao,2,sim,nao,DSL,nao,nao,nao,nao,nao,nao,mensal,nao,cheque eletronico,44.35,81.25,sim
7799-LGRDP,feminino,nao,nao,nao,43,sim,sim,nao,nao,nao,nao,nao,nao,nao,bianual,sim,cartao de credito,25.7,1188.2,nao
7850-VWJUU,feminino,nao,nao,nao,23,sim,nao,fibra optica,sim,nao,nao,nao,nao,nao,mensal,sim,transferencia bancaria,75.0,1778.5,nao
3774-VBNXY,feminino,nao,sim,sim,64,sim,nao,nao,nao,nao,nao,nao,nao,nao,bianual,nao,cheque,20.2,1277.75,nao
6217-KDYWC,masculino,nao,nao,sim,57,sim,nao,nao,nao,nao,nao,nao,nao,nao,bianual,sim,cheque,19.6,1170.55,nao
0390-DCFDQ,feminino,sim,sim,nao,1,sim,nao,fibra optica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque,70.45,70.45,sim
3146-MSEGF,feminino,sim,sim,sim,72,sim,sim,DSL,sim,sim,sim,sim,sim,sim,bianual,sim,cartao de credito,88.05,6425.65,nao
4080-OGPJL,feminino,nao,nao,nao,8,sim,sim,DSL,sim,nao,nao,sim,nao,sim,mensal,nao,cheque eletronico,71.15,563.65,sim
1095-WGNGG,feminino,nao,sim,nao,61,sim,sim,fibra optica,nao,sim,nao,nao,sim,sim,bianual,sim,transferencia bancaria,101.05,5971.25,nao
2636-SJDOU,masculino,nao,nao,nao,64,sim,sim,fibra optica,sim,sim,nao,nao,nao,nao,anual,sim,cartao de credito,84.3,5289.05,nao
1131-QQZEB,masculino,sim,sim,nao,71,sim,sim,nao,nao,nao,nao,nao,nao,nao,bianual,nao,transferencia bancaria,23.95,1756.2,nao
5716-EZXZN,feminino,nao,sim,sim,65,sim,sim,fibra optica,sim,sim,nao,sim,sim,nao,bianual,sim,cartao de credito,99.05,6416.7,nao
6837-BJYDQ,masculino,nao,nao,nao,3,sim,nao,nao,nao,nao,nao,nao,nao,nao,anual,nao,cheque,19.6,61.35,nao
2135-RXIHG,masculino,nao,nao,nao,1,sim,nao,DSL,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,45.65,45.65,sim
6440-DKQGE,masculino,nao,nao,sim,30,sim,nao,DSL,nao,sim,sim,nao,sim,nao,anual,nao,cartao de credito,64.5,1929.95,nao
3466-BYAVD,masculino,nao,sim,sim,15,sim,nao,DSL,nao,sim,sim,sim,nao,sim,mensal,sim,cheque,69.5,1071.4,nao
3780-YVMFA,feminino,nao,sim,sim,8,sim,nao,DSL,nao,nao,nao,sim,sim,sim,mensal,sim,cheque eletronico,68.55,564.35,nao
3874-EQOEP,masculino,nao,nao,nao,7,sim,sim,fibra optica,nao,nao,nao,nao,sim,sim,mensal,nao,cheque,95.0,655.5,sim
1679-JRFBR,feminino,nao,sim,sim,70,sim,sim,fibra optica,sim,sim,sim,nao,sim,sim,anual,sim,cartao de credito,108.15,7930.55,nao
9073-ZZIAY,masculino,nao,sim,sim,62,sim,nao,DSL,sim,sim,sim,sim,sim,sim,bianual,nao,cheque eletronico,86.1,5215.25,nao
3077-RSNTJ,feminino,nao,sim,sim,6,sim,nao,nao,nao,nao,nao,nao,nao,nao,mensal,nao,cheque,19.7,113.5,nao
6551-GNYDG,feminino,nao,sim,sim,14,sim,nao,fibra optica,nao,nao,nao,nao,nao,sim,mensal,sim,transferencia bancaria,80.9,1152.8,nao
9167-APMXZ,feminino,nao,nao,nao,22,sim,sim,fibra optica,nao,nao,nao,nao,sim,nao,mensal,sim,transferencia bancaria,84.15,1821.95,nao
2749-CTKAJ,masculino,nao,sim,sim,22,sim,nao,nao,nao,nao,nao,nao,nao,nao,anual,nao,cheque,20.15,419.9,nao
6371-NZYEG,masculino,nao,sim,sim,16,sim,nao,DSL,sim,nao,sim,nao,sim,nao,bianual,nao,cheque,64.25,1024.0,nao
7554-NEWDD,masculino,nao,nao,nao,10,sim,sim,nao,nao,nao,nao,nao,nao,nao,bianual,nao,transferencia bancaria,25.7,251.6,nao
8992-VONJD,feminino,nao,nao,sim,13,sim,nao,DSL,sim,sim,nao,nao,nao,nao,mensal,sim,cheque eletronico,56.0,764.55,nao
0867-MKZVY,feminino,nao,sim,nao,20,sim,sim,fibra optica,sim,nao,nao,nao,nao,nao,mensal,nao,cheque eletronico,82.4,1592.35,sim
4482-EWFMI,feminino,nao,nao,nao,2,sim,nao,fibra optica,nao,nao,nao,nao,nao,nao,mensal,sim,cheque eletronico,69.7,135.2,nao
4648-YPBTM,masculino,nao,nao,nao,53,sim,sim,DSL,nao,sim,sim,sim,nao,sim,bianual,sim,transferencia bancaria,73.9,3958.25,nao
2907-ILJBN,feminino,nao,sim,sim,11,sim,nao,nao,nao,nao,nao,nao,nao,nao,anual,nao,cheque,20.6,233.9,nao
6345-FZOQH,masculino,nao,sim,nao,69,sim,nao,nao,nao,nao,nao,nao,nao,nao,bianual,nao,cheque,19.9,1363.45,nao
3376-BMGFE,feminino,nao,nao,nao,4,sim,nao,fibra optica,nao,nao,nao,nao,nao,nao,mensal,sim,transferencia bancaria,70.9,273.0,sim
5997-OPVFA,masculino,nao,sim,nao,72,sim,sim,DSL,sim,sim,sim,sim,sim,sim,bianual,sim,transferencia bancaria,89.05,6254.45,nao
3445-HXXGF,masculino,sim,sim,nao,58,nao,nao,DSL,nao,sim,sim,nao,nao,sim,mensal,sim,cheque eletronico,45.3,2651.2,sim
1159-WFSGR,feminino,nao,sim,sim,16,sim,nao,nao,nao,nao,nao,nao,nao,nao,mensal,nao,cheque eletronico,20.4,321.4,nao
7654-YWJUF,masculino,nao,sim,nao,43,sim,nao,fibra optica,sim,nao,sim,sim,nao,nao,anual,sim,transferencia bancaria,84.25,3539.25,nao
1875-QIVME,feminino,nao,sim,nao,2,sim,sim,fibra optica,nao,nao,sim,sim,sim,sim,mensal,sim,cheque eletronico,104.4,242.8,sim
6727-IOTLZ,masculino,nao,sim,nao,14,sim,nao,DSL,nao,sim,sim,sim,sim,sim,bianual,nao,cheque,81.95,1181.75,nao
0691-JVSYA,feminino,nao,sim,nao,53,sim,nao,fibra optica,nao,nao,sim,nao,sim,sim,anual,sim,transferencia bancaria,94.85,5000.2,sim
5918-VUKWP,feminino,nao,nao,nao,32,sim,nao,nao,nao,nao,nao,nao,nao,nao,anual,nao,transferencia bancaria,20.55,654.55,nao
