idade,emprego,estado_civil,educacao,saldo_bancario,possui_casa,emprestimo,dia,mes,duracao,qtd_contato,deposito
60.0,technician,married,primary,65.0,yes,no,9.0,may,1028.0,2.0,yes
26.0,blue-collar,single,secondary,82.0,yes,no,9.0,may,654.0,1.0,yes
40.0,blue-collar,married,secondary,10.0,yes,no,9.0,may,1692.0,2.0,yes
33.0,blue-collar,divorced,primary,390.0,yes,no,9.0,may,665.0,2.0,yes
32.0,management,single,tertiary,311.0,no,no,12.0,may,757.0,2.0,yes
35.0,blue-collar,married,primary,414.0,no,no,13.0,may,504.0,4.0,yes
33.0,management,divorced,secondary,5.0,yes,no,13.0,may,1346.0,1.0,yes
38.0,management,married,tertiary,119.0,yes,no,13.0,may,568.0,4.0,yes
23.0,entrepreneur,single,primary,4.0,yes,no,13.0,may,395.0,2.0,yes
60.0,blue-collar,married,primary,1262.0,yes,yes,13.0,may,1015.0,1.0,yes
48.0,management,married,tertiary,1949.0,yes,no,13.0,may,683.0,2.0,yes
45.0,entrepreneur,divorced,tertiary,-395.0,yes,no,13.0,may,470.0,1.0,yes
36.0,blue-collar,married,secondary,1165.0,yes,no,13.0,may,1001.0,4.0,yes
52.0,management,married,,2240.0,yes,no,13.0,may,845.0,1.0,yes
35.0,blue-collar,divorced,primary,300.0,yes,no,13.0,may,945.0,2.0,yes
43.0,technician,married,secondary,3285.0,yes,no,13.0,may,1721.0,2.0,yes
52.0,,married,secondary,3923.0,yes,no,14.0,may,942.0,3.0,yes
,technician,divorced,primary,1443.0,yes,no,14.0,may,476.0,1.0,yes
48.0,blue-collar,divorced,primary,24.0,yes,no,14.0,may,832.0,1.0,yes
41.0,blue-collar,single,primary,1618.0,yes,no,14.0,may,1553.0,1.0,yes
39.0,management,divorced,tertiary,517.0,yes,yes,14.0,may,1328.0,1.0,yes
59.0,retired,married,secondary,1521.0,yes,yes,14.0,may,1125.0,2.0,yes
41.0,blue-collar,married,secondary,2823.0,yes,no,14.0,may,858.0,1.0,yes
48.0,blue-collar,married,secondary,1405.0,yes,no,14.0,may,629.0,2.0,yes
40.0,admin.,married,secondary,1535.0,yes,no,14.0,may,704.0,1.0,yes
48.0,blue-collar,married,secondary,1596.0,yes,no,14.0,may,760.0,1.0,yes
60.0,retired,married,primary,1542.0,yes,no,14.0,may,930.0,1.0,yes
40.0,technician,single,,3652.0,yes,no,14.0,may,1028.0,2.0,yes
57.0,technician,married,tertiary,-1.0,no,no,14.0,may,850.0,2.0,yes
51.0,blue-collar,married,secondary,7180.0,yes,no,14.0,may,927.0,1.0,yes
41.0,blue-collar,divorced,secondary,5291.0,yes,no,14.0,may,1423.0,3.0,yes
41.0,blue-collar,married,secondary,1384.0,yes,no,15.0,may,1162.0,4.0,yes
52.0,blue-collar,divorced,primary,-191.0,yes,no,15.0,may,755.0,1.0,yes
59.0,blue-collar,married,primary,320.0,yes,no,15.0,may,695.0,1.0,yes
44.0,blue-collar,married,,146.0,yes,no,15.0,may,483.0,1.0,yes
49.0,,married,primary,341.0,yes,yes,15.0,may,520.0,2.0,yes
40.0,services,married,primary,-9.0,yes,no,15.0,may,920.0,2.0,yes
41.0,admin.,married,primary,-306.0,yes,no,15.0,may,500.0,1.0,yes
44.0,technician,married,tertiary,4580.0,yes,no,15.0,may,911.0,2.0,yes
60.0,services,single,primary,313.0,yes,no,15.0,may,920.0,2.0,yes
29.0,management,married,tertiary,10576.0,no,no,15.0,may,1224.0,2.0,yes
41.0,retired,divorced,primary,-233.0,yes,no,15.0,may,1156.0,2.0,yes
41.0,blue-collar,married,primary,2453.0,yes,no,15.0,may,1052.0,1.0,yes
42.0,technician,single,secondary,1364.0,yes,no,15.0,may,1867.0,6.0,yes
36.0,services,single,,281.0,yes,no,16.0,may,515.0,1.0,yes
39.0,technician,married,tertiary,94.0,yes,yes,16.0,may,813.0,1.0,yes
,self-employed,single,tertiary,144.0,yes,no,16.0,may,676.0,1.0,yes
26.0,blue-collar,married,secondary,246.0,yes,no,16.0,may,1143.0,3.0,yes
,blue-collar,married,secondary,92.0,yes,no,16.0,may,688.0,1.0,yes
29.0,admin.,single,secondary,163.0,yes,yes,16.0,may,803.0,1.0,yes
37.0,services,divorced,secondary,49.0,yes,no,16.0,may,619.0,2.0,yes
33.0,blue-collar,single,secondary,-416.0,yes,no,16.0,may,767.0,2.0,yes
24.0,technician,single,secondary,409.0,yes,no,16.0,may,912.0,1.0,yes
50.0,admin.,divorced,secondary,363.0,yes,no,16.0,may,1340.0,1.0,yes
27.0,technician,single,tertiary,3706.0,yes,no,16.0,may,897.0,1.0,yes
54.0,management,single,tertiary,4393.0,yes,no,16.0,may,1297.0,3.0,yes
30.0,technician,single,secondary,863.0,yes,no,16.0,may,1193.0,5.0,yes
34.0,blue-collar,married,primary,695.0,yes,yes,16.0,may,1064.0,4.0,yes
37.0,management,single,secondary,792.0,yes,no,16.0,may,1187.0,4.0,yes
41.0,admin.,single,secondary,1020.0,yes,no,19.0,may,882.0,1.0,yes
47.0,blue-collar,married,secondary,863.0,yes,no,19.0,may,943.0,2.0,yes
,admin.,married,secondary,97.0,yes,no,19.0,may,607.0,1.0,yes
,blue-collar,married,secondary,754.0,yes,no,19.0,may,1022.0,4.0,yes
43.0,services,divorced,secondary,1040.0,yes,no,19.0,may,552.0,3.0,yes
37.0,management,divorced,tertiary,122.0,yes,no,19.0,may,1622.0,2.0,yes
30.0,technician,single,tertiary,880.0,yes,yes,19.0,may,967.0,6.0,yes
41.0,technician,married,secondary,501.0,yes,no,19.0,may,579.0,5.0,yes
36.0,blue-collar,married,secondary,4438.0,yes,no,20.0,may,446.0,1.0,yes
35.0,blue-collar,divorced,secondary,0.0,yes,no,20.0,may,1205.0,1.0,yes
29.0,services,single,secondary,271.0,yes,no,20.0,may,1882.0,2.0,yes
35.0,blue-collar,married,primary,102.0,yes,no,20.0,may,1334.0,1.0,yes
,blue-collar,married,secondary,2.0,yes,no,20.0,may,182.0,2.0,yes
35.0,services,married,secondary,4170.0,yes,no,20.0,may,1777.0,1.0,yes
34.0,technician,single,secondary,85.0,yes,no,20.0,may,1182.0,4.0,yes
,admin.,single,secondary,431.0,yes,yes,20.0,may,1045.0,1.0,yes
44.0,technician,divorced,secondary,982.0,yes,no,20.0,may,650.0,3.0,yes
36.0,blue-collar,married,primary,408.0,yes,yes,20.0,may,1063.0,2.0,yes
35.0,blue-collar,married,,4822.0,yes,no,20.0,may,843.0,2.0,yes
41.0,blue-collar,married,primary,1250.0,yes,no,20.0,may,1392.0,2.0,yes
,blue-collar,single,primary,216.0,yes,no,21.0,may,565.0,1.0,yes
34.0,blue-collar,married,secondary,1207.0,yes,no,21.0,may,905.0,1.0,yes
32.0,technician,married,secondary,791.0,yes,no,21.0,may,783.0,2.0,yes
36.0,management,married,tertiary,849.0,yes,yes,21.0,may,958.0,2.0,yes
30.0,blue-collar,single,secondary,239.0,yes,no,21.0,may,412.0,1.0,yes
37.0,technician,single,secondary,1211.0,yes,no,21.0,may,795.0,1.0,yes
36.0,blue-collar,married,primary,599.0,yes,no,21.0,may,649.0,2.0,yes
,management,single,tertiary,825.0,yes,no,21.0,may,506.0,2.0,yes
27.0,technician,married,secondary,2183.0,yes,yes,21.0,may,857.0,1.0,yes
34.0,retired,married,primary,4499.0,no,no,21.0,may,1681.0,1.0,yes
30.0,technician,single,tertiary,1289.0,yes,no,21.0,may,1697.0,2.0,yes
32.0,technician,single,tertiary,4665.0,yes,no,21.0,may,860.0,2.0,yes
37.0,technician,single,secondary,3326.0,yes,no,21.0,may,799.0,1.0,yes
32.0,blue-collar,married,secondary,783.0,yes,no,21.0,may,923.0,3.0,yes
33.0,blue-collar,married,secondary,0.0,yes,no,21.0,may,521.0,3.0,yes
35.0,blue-collar,married,primary,994.0,yes,no,23.0,may,1349.0,8.0,yes
35.0,self-employed,divorced,tertiary,1354.0,yes,no,23.0,may,736.0,2.0,yes
30.0,blue-collar,single,secondary,239.0,yes,no,23.0,may,785.0,1.0,yes
45.0,blue-collar,divorced,primary,-311.0,yes,no,23.0,may,1030.0,1.0,yes
45.0,admin.,married,secondary,149.0,yes,no,23.0,may,893.0,3.0,yes
33.0,blue-collar,married,secondary,1464.0,yes,no,23.0,may,588.0,3.0,yes
44.0,management,divorced,tertiary,5773.0,no,no,23.0,may,597.0,6.0,yes
40.0,blue-collar,married,primary,278.0,yes,no,23.0,may,1015.0,3.0,yes
,blue-collar,married,secondary,2910.0,yes,no,23.0,may,1392.0,2.0,yes
30.0,technician,married,tertiary,541.0,yes,no,26.0,may,414.0,2.0,yes
44.0,technician,divorced,secondary,1262.0,yes,no,26.0,may,788.0,11.0,yes
34.0,services,married,secondary,-538.0,yes,no,26.0,may,682.0,1.0,yes
37.0,blue-collar,married,secondary,125.0,no,no,26.0,may,679.0,2.0,yes
28.0,self-employed,single,tertiary,0.0,yes,no,26.0,may,1560.0,2.0,yes
32.0,admin.,single,secondary,620.0,yes,no,26.0,may,1234.0,3.0,yes
37.0,blue-collar,divorced,secondary,316.0,yes,no,26.0,may,642.0,2.0,yes
34.0,management,married,tertiary,2287.0,yes,no,26.0,may,895.0,4.0,yes
38.0,admin.,divorced,secondary,198.0,yes,no,26.0,may,431.0,2.0,yes
28.0,admin.,single,secondary,460.0,yes,no,26.0,may,741.0,6.0,yes
,management,divorced,tertiary,1145.0,yes,no,26.0,may,1272.0,4.0,yes
59.0,services,married,secondary,-22.0,yes,no,26.0,may,748.0,3.0,yes
24.0,blue-collar,married,secondary,685.0,yes,no,26.0,may,896.0,3.0,yes
26.0,services,single,secondary,901.0,yes,no,26.0,may,764.0,2.0,yes
59.0,retired,single,secondary,351.0,yes,no,27.0,may,1063.0,5.0,yes
30.0,entrepreneur,single,primary,0.0,yes,yes,27.0,may,1051.0,1.0,yes
37.0,admin.,married,secondary,274.0,yes,no,27.0,may,731.0,3.0,yes
30.0,admin.,single,secondary,-213.0,yes,yes,27.0,may,751.0,1.0,yes
25.0,blue-collar,married,secondary,97.0,yes,no,27.0,may,709.0,1.0,yes
44.0,services,divorced,secondary,51.0,yes,yes,27.0,may,3094.0,2.0,yes
29.0,management,married,tertiary,314.0,no,no,28.0,may,938.0,2.0,yes
26.0,management,single,tertiary,6840.0,yes,no,28.0,may,1560.0,2.0,yes
26.0,technician,single,secondary,668.0,yes,no,28.0,may,576.0,3.0,yes
27.0,services,single,secondary,54.0,yes,no,28.0,may,543.0,2.0,yes
25.0,self-employed,single,secondary,1242.0,yes,no,28.0,may,615.0,2.0,yes
28.0,management,married,secondary,292.0,yes,no,28.0,may,507.0,1.0,yes
23.0,services,single,secondary,665.0,yes,no,28.0,may,1183.0,1.0,yes
34.0,management,single,tertiary,1058.0,yes,no,28.0,may,864.0,2.0,yes
28.0,student,single,secondary,949.0,yes,no,28.0,may,1730.0,1.0,yes
51.0,entrepreneur,married,,606.0,yes,no,28.0,may,560.0,9.0,yes
35.0,blue-collar,married,secondary,0.0,yes,yes,29.0,may,543.0,1.0,yes
35.0,admin.,married,secondary,404.0,yes,no,29.0,may,539.0,1.0,yes
56.0,blue-collar,married,secondary,249.0,yes,no,29.0,may,791.0,2.0,yes
45.0,unemployed,divorced,secondary,3354.0,yes,no,29.0,may,746.0,1.0,yes
60.0,blue-collar,divorced,secondary,0.0,yes,no,29.0,may,1207.0,1.0,yes
56.0,technician,married,secondary,589.0,yes,no,29.0,may,535.0,2.0,yes
27.0,management,single,tertiary,12956.0,yes,no,29.0,may,789.0,3.0,yes
30.0,admin.,married,secondary,873.0,yes,no,29.0,may,792.0,3.0,yes
45.0,blue-collar,divorced,primary,594.0,yes,no,29.0,may,833.0,2.0,yes
29.0,blue-collar,single,secondary,-20.0,yes,no,29.0,may,814.0,2.0,yes
38.0,management,divorced,tertiary,4692.0,yes,no,29.0,may,1363.0,2.0,yes
30.0,blue-collar,married,secondary,486.0,yes,no,29.0,may,1109.0,3.0,yes
44.0,blue-collar,single,primary,1593.0,yes,no,29.0,may,828.0,3.0,yes
36.0,management,single,tertiary,7606.0,yes,no,30.0,may,917.0,1.0,yes
38.0,technician,married,secondary,226.0,yes,no,30.0,may,762.0,3.0,yes
36.0,blue-collar,single,secondary,366.0,yes,yes,30.0,may,1133.0,2.0,yes
37.0,management,divorced,secondary,16.0,yes,no,30.0,may,638.0,1.0,yes
35.0,management,single,tertiary,565.0,yes,no,30.0,may,763.0,1.0,yes
38.0,admin.,divorced,secondary,19.0,yes,no,30.0,may,604.0,2.0,yes
40.0,services,married,primary,1082.0,yes,no,30.0,may,854.0,2.0,yes
42.0,unemployed,divorced,secondary,1713.0,yes,no,30.0,may,855.0,2.0,yes
46.0,management,divorced,tertiary,14481.0,yes,no,30.0,may,1269.0,1.0,yes
35.0,technician,divorced,secondary,5724.0,yes,no,30.0,may,691.0,10.0,yes
34.0,technician,divorced,secondary,1451.0,yes,no,30.0,may,1097.0,15.0,yes
32.0,services,married,secondary,-34.0,yes,no,30.0,may,1236.0,2.0,yes
50.0,unemployed,married,secondary,3674.0,yes,no,30.0,may,886.0,3.0,yes
35.0,blue-collar,married,secondary,698.0,yes,yes,30.0,may,1343.0,3.0,yes
36.0,technician,single,secondary,4136.0,yes,no,30.0,may,812.0,3.0,yes
,blue-collar,divorced,primary,2656.0,yes,no,30.0,may,1980.0,2.0,yes
46.0,management,single,tertiary,2904.0,yes,no,30.0,may,984.0,2.0,yes
26.0,management,single,tertiary,1004.0,yes,no,30.0,may,228.0,2.0,yes
45.0,technician,single,secondary,410.0,yes,no,30.0,may,891.0,4.0,yes
,unemployed,divorced,primary,0.0,yes,no,30.0,may,745.0,12.0,yes
29.0,management,single,tertiary,0.0,yes,no,30.0,may,539.0,12.0,yes
,entrepreneur,single,secondary,62.0,yes,no,30.0,may,1044.0,5.0,yes
27.0,blue-collar,married,primary,416.0,yes,no,30.0,may,1193.0,2.0,yes
39.0,management,married,tertiary,2763.0,yes,no,2.0,jun,526.0,2.0,yes
36.0,services,married,secondary,2984.0,yes,no,2.0,jun,394.0,1.0,yes
41.0,blue-collar,married,primary,143.0,yes,yes,2.0,jun,659.0,2.0,yes
36.0,services,married,primary,0.0,yes,no,2.0,jun,1036.0,1.0,yes
32.0,technician,married,secondary,696.0,yes,no,2.0,jun,815.0,1.0,yes
35.0,services,married,secondary,152.0,yes,no,2.0,jun,563.0,1.0,yes
36.0,management,single,tertiary,-78.0,yes,no,2.0,jun,1068.0,1.0,yes
35.0,management,married,tertiary,867.0,yes,no,2.0,jun,230.0,3.0,yes
30.0,blue-collar,single,secondary,953.0,yes,no,2.0,jun,747.0,2.0,yes
42.0,blue-collar,married,secondary,443.0,yes,no,2.0,jun,671.0,5.0,yes
42.0,technician,single,secondary,-1129.0,yes,no,2.0,jun,555.0,5.0,yes
32.0,blue-collar,married,primary,415.0,yes,no,2.0,jun,777.0,4.0,yes
29.0,blue-collar,single,secondary,260.0,yes,no,2.0,jun,707.0,14.0,yes
44.0,management,divorced,tertiary,-411.0,yes,no,2.0,jun,432.0,4.0,yes
32.0,technician,single,secondary,1279.0,yes,no,3.0,jun,1173.0,3.0,yes
,unemployed,married,secondary,86.0,yes,yes,3.0,jun,963.0,2.0,yes
40.0,self-employed,married,secondary,-754.0,yes,yes,3.0,jun,941.0,3.0,yes
43.0,entrepreneur,married,secondary,0.0,no,no,3.0,jun,1025.0,7.0,yes
27.0,management,single,secondary,178.0,yes,no,3.0,jun,732.0,2.0,yes
37.0,services,single,secondary,278.0,yes,no,3.0,jun,1045.0,3.0,yes
23.0,services,single,secondary,425.0,yes,no,3.0,jun,768.0,1.0,yes
25.0,management,married,primary,168.0,yes,no,3.0,jun,801.0,1.0,yes
26.0,blue-collar,single,secondary,-36.0,yes,no,3.0,jun,482.0,2.0,yes
47.0,blue-collar,divorced,primary,126.0,yes,no,3.0,jun,2456.0,2.0,yes
35.0,admin.,married,secondary,-87.0,yes,no,3.0,jun,1363.0,7.0,yes
32.0,technician,single,tertiary,6281.0,yes,no,3.0,jun,1336.0,4.0,yes
45.0,management,divorced,secondary,644.0,yes,no,4.0,jun,633.0,1.0,yes
30.0,admin.,divorced,secondary,377.0,yes,no,4.0,jun,524.0,15.0,yes
29.0,services,single,secondary,-271.0,yes,no,4.0,jun,578.0,1.0,yes
38.0,blue-collar,married,primary,5839.0,yes,no,4.0,jun,984.0,2.0,yes
23.0,blue-collar,single,secondary,492.0,yes,no,4.0,jun,638.0,1.0,yes
27.0,management,single,tertiary,99.0,yes,no,4.0,jun,767.0,2.0,yes
27.0,management,single,tertiary,-713.0,yes,no,4.0,jun,525.0,2.0,yes
29.0,services,single,secondary,32.0,yes,no,4.0,jun,563.0,1.0,yes
30.0,self-employed,married,tertiary,543.0,yes,yes,4.0,jun,1449.0,6.0,yes
36.0,blue-collar,married,primary,403.0,yes,no,4.0,jun,920.0,1.0,yes
35.0,admin.,divorced,secondary,437.0,yes,no,4.0,jun,908.0,1.0,yes
36.0,blue-collar,married,secondary,1772.0,no,no,5.0,jun,208.0,1.0,yes
59.0,retired,divorced,primary,-88.0,yes,no,5.0,jun,910.0,2.0,yes
47.0,entrepreneur,married,secondary,0.0,no,no,5.0,jun,1446.0,1.0,yes
58.0,entrepreneur,married,tertiary,853.0,no,no,5.0,jun,1149.0,2.0,yes
37.0,management,single,tertiary,240.0,no,no,5.0,jun,1123.0,1.0,yes
46.0,admin.,single,secondary,849.0,yes,no,5.0,jun,508.0,2.0,yes
43.0,blue-collar,single,secondary,318.0,yes,no,5.0,jun,736.0,2.0,yes
27.0,management,single,tertiary,703.0,yes,no,5.0,jun,590.0,3.0,yes
38.0,services,divorced,secondary,61.0,no,no,5.0,jun,636.0,1.0,yes
,,married,primary,104.0,no,yes,5.0,jun,701.0,1.0,yes
47.0,blue-collar,married,secondary,1996.0,no,no,5.0,jun,761.0,2.0,yes
56.0,,divorced,primary,1238.0,no,no,5.0,jun,1558.0,1.0,yes
41.0,,married,secondary,879.0,no,no,5.0,jun,1053.0,2.0,yes
29.0,self-employed,married,secondary,425.0,yes,no,5.0,jun,562.0,15.0,yes
50.0,technician,married,secondary,416.0,yes,no,5.0,jun,494.0,5.0,yes
45.0,blue-collar,divorced,primary,844.0,no,no,5.0,jun,1018.0,3.0,yes
35.0,blue-collar,married,secondary,860.0,yes,no,5.0,jun,884.0,4.0,yes
26.0,technician,single,secondary,639.0,yes,no,6.0,jun,709.0,5.0,yes
26.0,admin.,married,secondary,710.0,yes,yes,6.0,jun,1276.0,2.0,yes
37.0,blue-collar,married,,1508.0,no,yes,6.0,jun,381.0,2.0,yes
30.0,admin.,single,secondary,223.0,yes,no,6.0,jun,862.0,11.0,yes
38.0,management,single,tertiary,619.0,yes,no,6.0,jun,460.0,4.0,yes
37.0,services,divorced,secondary,319.0,yes,no,6.0,jun,467.0,3.0,yes
,technician,married,secondary,480.0,no,no,6.0,jun,648.0,2.0,yes
29.0,blue-collar,single,primary,213.0,yes,no,6.0,jun,2653.0,3.0,yes
35.0,management,single,tertiary,68.0,no,no,6.0,jun,1085.0,1.0,yes
28.0,blue-collar,married,secondary,2788.0,yes,no,6.0,jun,369.0,2.0,yes
55.0,blue-collar,married,,7561.0,no,no,6.0,jun,685.0,3.0,yes
49.0,management,divorced,secondary,-46.0,yes,no,9.0,jun,1055.0,10.0,yes
50.0,services,married,secondary,1595.0,no,no,9.0,jun,882.0,1.0,yes
43.0,management,single,tertiary,1046.0,no,no,9.0,jun,901.0,1.0,yes
58.0,self-employed,divorced,tertiary,1382.0,no,no,9.0,jun,700.0,1.0,yes
38.0,technician,married,primary,217.0,yes,no,9.0,jun,491.0,6.0,yes
48.0,blue-collar,divorced,primary,183.0,no,no,9.0,jun,940.0,1.0,yes
59.0,management,married,secondary,1321.0,no,no,9.0,jun,3881.0,3.0,yes
58.0,blue-collar,married,secondary,25.0,no,no,9.0,jun,486.0,3.0,yes
36.0,self-employed,single,tertiary,4844.0,no,no,9.0,jun,1137.0,3.0,yes
42.0,entrepreneur,married,tertiary,5345.0,no,no,11.0,jun,878.0,3.0,yes
41.0,admin.,single,secondary,812.0,no,yes,11.0,jun,583.0,4.0,yes
42.0,admin.,married,secondary,105.0,no,no,11.0,jun,1159.0,4.0,yes
39.0,management,married,tertiary,-190.0,no,yes,11.0,jun,893.0,8.0,yes
57.0,,married,primary,625.0,no,yes,11.0,jun,867.0,1.0,yes
52.0,retired,married,,293.0,no,no,11.0,jun,706.0,1.0,yes
59.0,retired,married,,1033.0,no,no,11.0,jun,1199.0,1.0,yes
56.0,blue-collar,married,secondary,1210.0,no,no,11.0,jun,935.0,1.0,yes
49.0,management,married,tertiary,64.0,no,no,11.0,jun,586.0,1.0,yes
35.0,blue-collar,divorced,,164.0,no,no,11.0,jun,967.0,2.0,yes
36.0,unemployed,married,secondary,1766.0,no,no,11.0,jun,595.0,2.0,yes
40.0,admin.,single,tertiary,1248.0,no,no,11.0,jun,1290.0,2.0,yes
55.0,blue-collar,married,secondary,0.0,no,no,12.0,jun,614.0,2.0,yes
58.0,admin.,married,secondary,826.0,no,no,12.0,jun,885.0,1.0,yes
39.0,self-employed,married,tertiary,2630.0,no,no,12.0,jun,651.0,5.0,yes
47.0,,single,tertiary,3727.0,no,no,12.0,jun,993.0,6.0,yes
40.0,management,married,secondary,406.0,yes,no,12.0,jun,577.0,2.0,yes
35.0,blue-collar,married,tertiary,2999.0,no,no,12.0,jun,1141.0,6.0,yes
48.0,blue-collar,married,secondary,1000.0,yes,no,12.0,jun,1268.0,2.0,yes
48.0,management,divorced,tertiary,503.0,no,yes,12.0,jun,1243.0,7.0,yes
24.0,blue-collar,single,secondary,-203.0,yes,no,12.0,jun,465.0,3.0,yes
49.0,blue-collar,married,primary,361.0,yes,no,16.0,jun,513.0,2.0,yes
36.0,blue-collar,married,secondary,274.0,yes,no,16.0,jun,686.0,11.0,yes
52.0,retired,divorced,tertiary,3687.0,yes,yes,16.0,jun,741.0,4.0,yes
42.0,entrepreneur,single,,323.0,no,no,16.0,jun,617.0,1.0,yes
36.0,services,married,secondary,981.0,no,no,16.0,jun,1093.0,1.0,yes
36.0,blue-collar,divorced,secondary,638.0,yes,no,16.0,jun,1395.0,2.0,yes
48.0,unemployed,single,tertiary,3229.0,no,no,16.0,jun,1089.0,1.0,yes
51.0,management,single,secondary,1610.0,yes,no,16.0,jun,1248.0,3.0,yes
51.0,blue-collar,married,secondary,33.0,no,yes,16.0,jun,721.0,3.0,yes
46.0,technician,married,secondary,536.0,yes,no,16.0,jun,750.0,2.0,yes
37.0,management,married,tertiary,0.0,no,no,16.0,jun,637.0,6.0,yes
36.0,entrepreneur,married,tertiary,3057.0,no,no,16.0,jun,2769.0,4.0,yes
47.0,management,married,secondary,2892.0,no,no,17.0,jun,556.0,1.0,yes
40.0,technician,divorced,tertiary,0.0,no,no,17.0,jun,522.0,1.0,yes
38.0,student,single,tertiary,3316.0,no,no,17.0,jun,1345.0,3.0,yes
40.0,management,married,secondary,106.0,no,no,17.0,jun,676.0,2.0,yes
39.0,blue-collar,married,primary,2303.0,yes,no,17.0,jun,775.0,3.0,yes
60.0,management,married,tertiary,3301.0,no,no,17.0,jun,2621.0,3.0,yes
39.0,self-employed,single,tertiary,426.0,no,no,18.0,jun,1029.0,1.0,yes
51.0,services,divorced,secondary,9.0,no,no,18.0,jun,371.0,2.0,yes
27.0,admin.,married,secondary,-97.0,,no,18.0,jun,1528.0,2.0,yes
41.0,management,single,tertiary,11008.0,,no,18.0,jun,1540.0,1.0,yes
42.0,blue-collar,single,primary,4930.0,,no,18.0,jun,973.0,1.0,yes
41.0,entrepreneur,married,secondary,707.0,,no,18.0,jun,707.0,1.0,yes
33.0,technician,married,secondary,4.0,,yes,18.0,jun,625.0,2.0,yes
46.0,admin.,married,secondary,126.0,,no,18.0,jun,1255.0,1.0,yes
,blue-collar,married,secondary,671.0,,no,18.0,jun,704.0,4.0,yes
41.0,blue-collar,married,primary,219.0,,yes,18.0,jun,1574.0,3.0,yes
41.0,blue-collar,divorced,secondary,3622.0,,no,19.0,jun,1135.0,4.0,yes
55.0,retired,divorced,secondary,1580.0,,yes,19.0,jun,1007.0,1.0,yes
,technician,married,secondary,1319.0,,no,19.0,jun,1318.0,3.0,yes
55.0,,married,primary,2152.0,,no,19.0,jun,922.0,2.0,yes
39.0,services,married,secondary,2843.0,,no,19.0,jun,585.0,1.0,yes
40.0,entrepreneur,married,tertiary,0.0,,no,19.0,jun,952.0,4.0,yes
59.0,retired,married,primary,1115.0,,no,19.0,jun,834.0,1.0,yes
42.0,blue-collar,single,secondary,625.0,,no,19.0,jun,651.0,3.0,yes
41.0,blue-collar,married,primary,246.0,,no,19.0,jun,683.0,3.0,yes
27.0,blue-collar,married,secondary,61.0,,no,19.0,jun,1012.0,1.0,yes
25.0,blue-collar,single,secondary,-191.0,,no,19.0,jun,958.0,7.0,yes
43.0,unemployed,married,primary,519.0,,no,20.0,jun,973.0,2.0,yes
44.0,services,married,secondary,522.0,,yes,20.0,jun,911.0,1.0,yes
26.0,blue-collar,single,secondary,-46.0,,no,20.0,jun,382.0,7.0,yes
52.0,retired,married,tertiary,2269.0,,no,20.0,jun,1210.0,1.0,yes
